mmsi,type,type_specific,name,country_iso
636018703,Cargo - Hazard D (Recognizable),Container Ship,OAKLAND EXPRESS,LR
636018702,Cargo - Hazard A (Major),Container Ship,ATLANTA EXPRESS,LR
636018701,Cargo - Hazard D (Recognizable),Container Ship,THALASSA AXIA,LR
636018700,Cargo,Container Ship,HOUSTON EXPRESS,LR
636018671,Tanker,Crude Oil Tanker,LEVANTINE SEA,LR
636018661,Cargo,General Cargo,ADALADY,
636018620,Cargo,General Cargo,RIX PLATO,LR
636018592,Cargo,Fruit Juice Tanker,ATLANTIC ORCHARD,LR
636018562,Cargo,Container Ship,MSC PALATIUM III,LR
636018560,Cargo,Container Ship,CHARM C,LR
636018543,Tanker,Oil or Chemical Tanker,ELANDRA MAPLE,LR
636018488,Cargo,General Cargo,DZ YANTAI,LR
636018459,Tanker,Oil or Chemical Tanker,CHEM TAURUS,LR
636018389,Cargo - Hazard C (Minor),Container Ship,MSC NITA,LR
636018294,Tanker,Crude Oil Tanker,NEW FRIENDSHIP,LR
636018238,Cargo,Vehicles Carrier,MORNING CORNET,LR
636018226,Cargo,Cargo or Containership,ASIAN SPIRIT,LR
636018221,Cargo,Bulk Carrier,KM JAKARTA,LR
636018205,Tanker,Crude Oil Tanker,PATMOS I,LR
636018144,Cargo - Hazard D (Recognizable),General Cargo,AAL MELBOURNE,LR
636018141,Cargo - Hazard D (Recognizable),General Cargo,AAL PUSAN,LR
636018135,Cargo,General Cargo,AAL BRISBANE,LR
636018112,,,,
636018106,Cargo - Hazard D (Recognizable),Container Ship,MSC CARLOTTA,LR
636018105,Cargo,Container Ship,MSC BEIRA IV,LR
636018104,Other,Offshore Supply Ship,FOG 11,
636018081,Cargo - Hazard A (Major),Container Ship,BELITAKI,LR
636018079,Cargo - Hazard A (Major),Container Ship,MSC LISBON,LR
636018075,Cargo,Container Ship,MSC ROMA,LR
636018068,Cargo - Hazard A (Major),Container Ship,MSC AVNI,LR
636018066,Tanker,Oil or Chemical Tanker,OGINO PARK,LR
636018059,Cargo,Container Ship,KOI,LR
636018058,Cargo,Container Ship,CYPRESS,LR
636018000,Cargo,Container Ship,CONTSHIP TOP,LR
636017950,Tanker,Oil Products Tanker,CIELO BIANCO,LR
636017921,Cargo,Container Ship,MSC PERLE,LR
636017916,Cargo,Container Ship,MSC TOPAZ,LR
636017852,Cargo - Hazard A (Major),Cargo or Containership,CONTSHIP RAY,LR
636017833,Tanker,Oil or Chemical Tanker,STOLT LOTUS,LR
636017803,Cargo,Container Ship,GSL MELINA,LR
636017792,Tanker,Oil or Chemical Tanker,HYDE PARK,LR
